NO. OF CHILDREN,UNEMPLOYED PARENTS,FINANCIAL INCOME,YEAR,PERCENTAGE,POVERTY RATES IN EDUCATION
10012001471,266,81,2018-2019,34.808687,-86.973266
10012001472,137,53,2018-2019,34.812319,-86.949293
10012001473,316,121,2018-2019,34.803346,-86.949838
10012001474,333,122,2018-2019,34.804348,-86.993432
10012001475,330,102,2018-2019,34.799304,-86.96261
10012001758,222,103,2018-2019,34.781914,-86.9629
10012002417,329,109,2018-2019,34.800179,-86.964919
10012002461,325,108,2018-2019,34.801085,-86.971889
10017502112,110,43,2018-2019,30.704663,-88.082939
10017602108,179,52,2018-2019,33.364683,-86.332274
10017602109,264,88,2018-2019,32.577049,-86.337457
10017602110,372,62,2018-2019,32.564214,-86.193789
10017602111,300,58,2018-2019,33.51396,-87.184745
10017602460,361,67,2018-2019,32.582667,-86.391816
10017602465,384,119,2018-2019,32.387976,-86.101496
10017602466,263,85,2018-2019,32.577164,-86.333054
10017602467,361,66,2018-2019,32.581384,-86.391869
10017802113,100,21,2018-2019,33.548911,-86.730571
10017802374,100,21,2018-2019,33.548911,-86.730571
10017902107,310,108,2018-2019,30.619211,-88.33722
10017902459,330,102,2018-2019,34.071923,-85.979239
10018000033,210,79,2018-2019,33.995973,-86.110859
10018000034,207,78,2018-2019,33.995704,-86.112782
10018000035,190,65,2018-2019,33.998734,-86.126219
10018102116,169,47,2018-2019,31.006675,-87.268202
10018302114,234,105,2018-2019,33.58486,-86.646003
10018402115,124,30,2018-2019,34.011773,-86.02093
10018500893,147,43,2018-2019,30.8313,-88.065367
10018500952,256,44,2018-2019,30.810124,-88.078798
10018502137,337,100,2018-2019,30.796015,-88.100153
10018502427,302,84,2018-2019,30.862646,-88.127436
10018602335,183,133,2018-2019,32.353,-86.326001
10018702371,125,28,2018-2019,32.425143,-86.286837
10018802193,133,47,2018-2019,30.761258,-88.082215
10018802194,108,38,2018-2019,30.75687,-88.077977
10018802428,106,36,2018-2019,30.756856,-88.078622
10018902195,187,46,2018-2019,30.847077,-88.056867
10018902196,246,68,2018-2019,30.846614,-88.067029
10019001182,294,108,2018-2019,33.224912,-86.824098
10019001183,426,144,2018-2019,33.222102,-86.845962
10019001184,327,119,2018-2019,33.217043,-86.838544
10019001460,348,102,2018-2019,33.17642,-86.808574
10019001815,302,73,2018-2019,33.225792,-86.864943
10019002149,287,111,2018-2019,33.226128,-86.824103
10019102305,371,155,2018-2019,33.208594,-87.545493
10019201694,219,112,2018-2019,32.289712,-86.261669
10019302341,171,55,2018-2019,30.721769,-88.141573
10019402395,373,107,2018-2019,33.309908,-86.789469
10019402396,374,119,2018-2019,33.275334,-86.78671
10019402398,308,79,2018-2019,33.30662,-86.808097
10019402399,329,87,2018-2019,33.312895,-86.82121
10019502407,521,86,2018-2019,32.338392,-86.028178
10019502424,517,60,2018-2019,32.285484,-86.103225
10019502441,466,90,2018-2019,32.355003,-86.102682
10019702432,178,72,2018-2019,30.668018,-88.11973
10019802450,128,71,2018-2019,32.37078,-86.31163
10019902452,171,68,2018-2019,32.586288,-88.189067
10020002463,148,100,2018-2019,32.638835,-85.404667
10021000036,466,88,2018-2019,32.603878,-85.446081
10021000037,353,59,2018-2019,32.596469,-85.463119
10021000039,284,90,2018-2019,32.620936,-85.484673
10021000040,324,57,2018-2019,32.600491,-85.464089
10021000041,228,85,2018-2019,32.618099,-85.494389
10021000042,449,80,2018-2019,32.589963,-85.472008
10021000053,467,78,2018-2019,32.585926,-85.468923
10021001254,398,72,2018-2019,32.564003,-85.456576
10021001259,499,131,2018-2019,32.640382,-85.506468
10021001879,415,93,2018-2019,32.619649,-85.513374
10021002363,412,122,2018-2019,32.633511,-85.47833
10021002440,349,78,2018-2019,32.598241,-85.476613
10021002454,462,115,2018-2019,32.623183,-85.517929
10024000045,183,43,2018-2019,32.663571,-86.700747
10024000046,300,62,2018-2019,32.619027,-86.481999
10024000047,208,56,2018-2019,32.454675,-86.455471
10024000048,235,93,2018-2019,32.500533,-86.471585
10024000049,173,68,2018-2019,32.484949,-86.470642
10024000050,234,60,2018-2019,32.454222,-86.451616
10024000051,206,55,2018-2019,32.462388,-86.46838
10024000543,295,58,2018-2019,32.589386,-86.463004
10024000546,314,73,2018-2019,32.452238,-86.42219
10024000587,212,58,2018-2019,32.455059,-86.454282
10024000590,241,95,2018-2019,32.500629,-86.473537
10024001408,179,52,2018-2019,32.433931,-86.659977
10024001550,293,67,2018-2019,32.448195,-86.421643
10024001639,201,56,2018-2019,32.457364,-86.466194
10024002159,269,54,2018-2019,32.700293,-86.474055
10027000013,405,80,2018-2019,30.617332,-87.870063
10027000023,265,49,2018-2019,30.269068,-87.678994
10027000024,242,27,2018-2019,30.540413,-87.706485
10027000056,464,106,2018-2019,30.591378,-87.902219
10027000057,246,44,2018-2019,30.419807,-87.59976
10027000058,236,53,2018-2019,30.567272,-87.624328
10027000059,384,113,2018-2019,30.495443,-87.881755
10027000060,248,50,2018-2019,30.407235,-87.688472
10027000062,158,79,2018-2019,31.00521,-87.622619
10027000065,296,91,2018-2019,30.619407,-87.686299
10027000066,302,38,2018-2019,30.543328,-87.753727
10027000067,491,70,2018-2019,30.67443,-87.904563
10027000068,405,65,2018-2019,30.742356,-87.790171
10027000069,246,44,2018-2019,30.488992,-87.695046
10027000070,234,45,2018-2019,30.316295,-87.728368
10027000100,404,143,2018-2019,30.498068,-87.8836
10027000162,297,44,2018-2019,30.582716,-87.727747
10027000549,353,83,2018-2019,30.297043,-87.557752
10027000550,526,72,2018-2019,30.677715,-87.847823
10027000625,233,45,2018-2019,30.412994,-87.584406
10027000641,263,48,2018-2019,30.269146,-87.675805
10027000648,264,62,2018-2019,30.419802,-87.743575
10027000660,361,113,2018-2019,30.473661,-87.85694
10027000664,205,44,2018-2019,30.865582,-87.783729
10027000665,238,26,2018-2019,30.549516,-87.696247
10027001477,263,48,2018-2019,30.268969,-87.68009
10027001708,220,40,2018-2019,30.890398,-87.774686
10027001709,401,77,2018-2019,30.613027,-87.904298
10027001710,514,165,2018-2019,30.526382,-87.876402
10027001711,470,122,2018-2019,30.5305,-87.901665
10027001712,250,49,2018-2019,30.409549,-87.690853
10027001713,236,44,2018-2019,30.386036,-87.69239
10027001714,295,65,2018-2019,30.614408,-87.758576
10027001715,192,57,2018-2019,30.865417,-87.74966
